"Time index";"Average";"Build 1";"Build 2";"Build 3";"Build 4";"Build 5"
"10.25";"361.2709";"359.2366";"371.8312";"352.9965";"370.3781";"351.9122"
"10.5";"349.9884";"360.5844";"343.8419";"354.2029";"338.9023";"352.4105"
"10.75";"351.1505";"362.1245";"344.6422";"356.3982";"339.1463";"353.4412"
"11.0";"353.176";"363.7615";"347.9931";"357.1171";"340.3958";"356.6127"
"11.25";"354.4195";"364.8074";"349.077";"357.8214";"341.3417";"359.0503"
"11.5";"356.2162";"365.9225";"351.6346";"358.9185";"344.654";"359.9515"
"11.75";"357.8172";"367.0412";"353.6183";"360.3269";"347.2956";"360.8041"
"12.0";"359.1247";"368.2508";"354.4506";"362.0512";"348.8975";"361.9733"
"12.25";"360.4022";"369.2303";"355.3557";"363.7913";"350.5402";"363.0933"
"12.5";"361.7312";"370.1216";"356.7168";"365.4539";"352.1959";"364.1679"
"12.75";"363.3597";"371.0927";"358.8579";"366.9266";"353.8548";"366.0664"
"13.0";"365.4241";"374.0475";"361.1997";"368.5591";"355.2364";"368.0776"
"13.25";"367.1623";"375.9758";"362.9259";"369.8832";"357.1563";"369.8705"
"13.5";"368.6006";"376.8582";"364.5812";"371.3188";"358.9946";"371.2499"
"13.75";"370.2686";"378.377";"366.0094";"373.8841";"360.4825";"372.5899"
"14.0";"371.8037";"379.6955";"367.236";"376.0678";"362.0072";"374.0118"
"14.25";"373.2706";"380.478";"369.0017";"377.7262";"363.5915";"375.5556"
"14.5";"374.5344";"381.3339";"370.2876";"379.5422";"364.8614";"376.6469"
"14.75";"375.5611";"382.1327";"370.9959";"381.0766";"365.9382";"377.6622"
"15.0";"376.9834";"383.0198";"371.9666";"382.5899";"366.9474";"380.3933"
"15.25";"378.7104";"384.1895";"374.682";"384.1647";"368.0849";"382.4309"
"15.5";"379.9363";"385.794";"377.3329";"382.9154";"370.5858";"383.0536"
"15.75";"380.5784";"387.1471";"378.7677";"379.257";"373.1974";"384.5225"
"16.0";"381.4879";"386.0786";"380.5309";"379.9173";"374.7143";"386.1985"
"16.25";"382.1773";"387.4635";"380.2662";"381.2118";"376.5202";"385.4249"
"16.5";"381.9843";"389.9539";"378.4456";"381.9094";"376.2649";"383.3477"
"16.75";"382.2624";"392.6478";"378.439";"382.2864";"374.5586";"383.3803"
"17.0";"384.2942";"399.5903";"378.4399";"385.225";"374.5696";"383.6464"
"17.25";"387.4069";"404.9041";"379.283";"393.8199";"374.7012";"384.3264"
"17.5";"391.5045";"412.9222";"380.2794";"404.0457";"375.3155";"384.9595"
"17.75";"394.8923";"423.1962";"380.832";"408.5666";"376.5247";"385.3417"
"18.0";"396.2672";"425.7543";"380.0207";"412.514";"377.0865";"385.9603"
"18.25";"399.6062";"433.2249";"380.7846";"418.8688";"377.4704";"387.6823"
"18.5";"398.6788";"444.1734";"382.6663";"398.5057";"378.9508";"389.0981"
"18.75";"402.8399";"458.5966";"383.2155";"399.2587";"383.4377";"389.6911"
"19.0";"409.0124";"473.4847";"385.3972";"404.2787";"390.9797";"390.9216"
"19.25";"416.0332";"488.6817";"385.826";"418.4945";"395.9884";"391.1756"
"19.5";"425.2589";"502.6237";"389.3271";"436.4174";"404.0498";"393.8765"
"19.75";"433.2518";"507.49";"390.385";"459.8935";"413.9117";"394.5787"
"20.0";"438.4997";"492.947";"399.6378";"478.8142";"419.5625";"401.5371"
"20.25";"443.6971";"488.6765";"394.4326";"501.7248";"425.9211";"407.7306"
"20.5";"449.4417";"493.3369";"396.3995";"522.5018";"429.4001";"405.5703"
"20.75";"450.9447";"508.417";"399.3373";"505.8798";"423.971";"417.1181"
"21.0";"456.8475";"522.9368";"408.9948";"495.5787";"422.3339";"434.3936"
"21.25";"467.1043";"530.8546";"423.8619";"505.8179";"424.1274";"450.8599"
"21.5";"483.3159";"549.01";"441.8985";"527.2924";"430.8887";"467.4897"
"21.75";"502.3741";"569.1152";"460.028";"552.2703";"444.8517";"485.6054"
"22.0";"524.2599";"587.8521";"483.5215";"581.0111";"462.9787";"505.9364"
"22.25";"553.6288";"616.0219";"505.7363";"637.052";"478.1994";"531.1342"
"22.5";"579.8919";"624.2125";"525.5493";"690.4345";"502.2225";"557.0408"
"22.75";"588.7483";"612.1956";"522.2953";"706.017";"532.9259";"570.308"
"23.0";"573.6643";"571.8085";"509.8446";"685.4779";"544.9267";"556.2636"
"23.25";"556.1618";"581.8974";"518.0407";"608.3688";"532.79";"539.7119"
"23.5";"562.0815";"588.6827";"534.7591";"626.1872";"509.8639";"550.9149"
"23.75";"576.4652";"603.4456";"561.0978";"629.6252";"523.6628";"564.4946"
"24.0";"604.5658";"667.222";"592.5636";"640.6023";"542.2755";"580.1657"
"24.25";"633.4133";"675.8883";"644.7578";"656.2721";"558.57";"631.5782"
"24.5";"679.6638";"703.6489";"697.3832";"692.8546";"611.657";"692.7754"
"24.75";"704.5622";"707.3737";"713.7094";"709.381";"681.8316";"710.5155"
"25.0";"692.9549";"605.7363";"700.1647";"752.9099";"703.4881";"702.4751"
"25.25";"650.9756";"598.1214";"583.6524";"757.4858";"703.9906";"611.6278"
"25.5";"635.3293";"612.2551";"595.9799";"765.7535";"576.8911";"625.7667"
"25.75";"631.0318";"617.5017";"597.6747";"686.6342";"626.2469";"627.1014"
"26.0";"633.6365";"634.3526";"599.8812";"676.4592";"628.9496";"628.54"
"26.25";"650.2465";"693.3026";"606.0343";"688.1475";"629.1876";"634.5605"
"26.5";"661.1454";"725.3596";"623.1284";"0.0";"644.8888";"651.2047"
"26.75";"678.3107";"748.7154";"642.9303";"0.0";"669.0336";"652.5636"
"27.0";"701.1589";"760.6879";"681.51";"0.0";"686.5542";"675.8835"
"27.25";"715.6473";"769.5763";"689.0965";"0.0";"724.0585";"679.858"
"27.5";"691.4795";"0.0";"646.3397";"0.0";"783.1205";"644.9783"
"27.75";"693.5911";"0.0";"638.6655";"0.0";"800.4062";"641.7015"
"28.0";"682.8398";"0.0";"649.3444";"0.0";"744.9984";"654.1768"
"28.25";"455.92";"0.0";"0.0";"0.0";"717.8585";"193.9815"
"28.5";"726.4049";"0.0";"0.0";"0.0";"726.4049";"0.0"
"28.75";"735.417";"0.0";"0.0";"0.0";"735.417";"0.0"
"29.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"29.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"29.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"29.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"30.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"30.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"30.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"30.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"31.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"31.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"31.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"31.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"32.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"32.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"32.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"32.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"33.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"33.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"33.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"33.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"34.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"34.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"34.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"34.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"35.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"35.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"35.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"35.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"36.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"36.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"36.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"36.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"37.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"37.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"37.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"37.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"38.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"38.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"38.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"38.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"39.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"39.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"39.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"39.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"40.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"40.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"40.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"40.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"41.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"41.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"41.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"41.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"42.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"42.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"42.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"42.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"43.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"43.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"43.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"43.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"44.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"44.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"44.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"44.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"45.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"45.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"45.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"45.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"46.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"46.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"46.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"46.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"47.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"47.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"47.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"47.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"48.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"48.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"48.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"48.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"49.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"49.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"49.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"49.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"50.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"50.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"50.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"50.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"51.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"51.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"51.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"51.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"52.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"52.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"52.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"52.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"53.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"53.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"53.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"53.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"54.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"54.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"54.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"54.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"55.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"55.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"55.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"55.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"56.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"56.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"56.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"56.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"57.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"57.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"57.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"57.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"58.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"58.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"58.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"58.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"59.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"59.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"59.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"59.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"60.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"60.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"60.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"60.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"61.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"61.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"61.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"61.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"62.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"62.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"62.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"62.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"63.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"63.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"63.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"63.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"64.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"64.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"64.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"64.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"65.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"65.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"65.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"65.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"66.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"66.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"66.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"66.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"67.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"67.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"67.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"67.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"68.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"68.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"68.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"68.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"69.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"69.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"69.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"69.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"70.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"70.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"70.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"70.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"71.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"71.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"71.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"71.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"72.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"72.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"72.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"72.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"73.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"73.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"73.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"73.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"74.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"74.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"74.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"74.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"75.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"75.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"75.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"75.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"76.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"76.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"76.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"76.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"77.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"77.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"77.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"77.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"78.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"78.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"78.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"78.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"79.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"79.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"79.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"79.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"80.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"80.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"80.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"80.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"81.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"81.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"81.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"81.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"82.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"82.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"82.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"82.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"83.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"83.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"83.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"83.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"84.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"84.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"84.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"84.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"85.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"85.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"85.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"85.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"86.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"86.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"86.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"86.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"87.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"87.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"87.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"87.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"88.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"88.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"88.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"88.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"89.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"89.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"89.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"89.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"90.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"90.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"90.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"90.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"91.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"91.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"91.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"91.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"92.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
